Name,Party,PartyLetter,BornDate,Age,Profession,Education,Spokesperson_Areas,ImageURL
Lisbeth Torfing,Enhedslisten,Ø,12-07-1987,38,Underviser,"Ph.d. i nordisk sprog og litteratur, Aarhus Universitet, 2016. , Kandidat i nordisk sprog og litteratur, Aarhus Universitet, 2013. , MA i islandske middelalderstudier, Háskóli Íslands (Islands Universitet), 2011. , Bachelor i nordisk sprog og litteratur, Aarhus Universitet, 2009. , Student, matematisk linje, Aarhus Katedralskole, 2006. , Grundskole, Tranbjergskolen, Næshøjskolen og Skt. Knuds Skole, Aarhus, 2003.","Boligordfører, Energiordfører, Forsyningsordfører, Indenrigsordfører, Kommunalordfører, Landdistrikts- og øordfører, Skatteordfører",https://www.dr.dk/parliament-member-images/lisbeth_torfing_500.jpg
Lise Bertelsen,Det Konservative Folkeparti,C,08-09-1975,50,Specialpædagog i børne- og ungdomspsykiatri,"Master i Vejledning/Programme in Guidance, Danmarks institut for Pædagogik og Uddannelse (DPU), Aarhus Universitet, Emdrup, 2014. , Autisme Diagnostisk Observation, Center for Autisme, København, 2011. , Kognitive behandlingsformer, Aarhus Universitetshospital, 2010. , Specialpædagog, Viborg Seminariet, 1999.","Børneordfører, Forskningsordfører, Psykiatriordfører, Undervisningsordfører",https://www.dr.dk/parliament-member-images/lise_bertelsen_500.jpg
Lise Müller,Socialistisk Folkeparti,F,21-01-1974,52,Sygeplejerske,"Master i sundhedspædagogik, Danmarks Pædagogiske Universitet, København , 2002-2003. , Sygeplejerske, H:S Sygeplejeuddannelsen, København, 1996-1999.","Integrationsordfører, Sundhedsordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/lise_muller_500.jpg
Louise Louring,Venstre,V,23-05-1992,34,Jurist,"Persondatabeskyttelse, København Universitet, 2023. , Kandidat i jura, Aarhus Universitet, 2022. , Markedsføringsøkonom, Erhvervsakademi Aarhus, 2012-2014. , Hhx, Skanderborg-Odder Center for Uddannelse, 2009-2012. , Danish Badminton College, 2008-2009.","Arbejdsmiljøordfører, Forskningsordfører, Uddannelsesordfører",https://www.dr.dk/parliament-member-images/louise_louring_500.jpg
Mads Fuglede,Danmarksdemokraterne,Æ,23-08-1971,54,"Historiker, USA-analytiker","Cand.mag. i historie og filosofi, Aarhus Universitet, 2004. , Student, Dronninglund Gymnasium, 1989.","Energiordfører, Færøerneordfører, Forsyningsordfører, Grønlandsordfører, Kirkeordfører, Klimaordfører, Rigsfællesskabsordfører, Udenrigsordfører",https://www.dr.dk/parliament-member-images/mads_fuglede_500.jpg
Mads Strange,Liberal Alliance,I,07-11-1999,26,,"Kandidatuddannelse i statskundskab, København Universitet, 2025. , Student, Handelsgymnasiet JTP (Niels Brock), 2019.","Indfødsretsordfører, Politisk ordfører, Skatteordfører",https://www.dr.dk/parliament-member-images/mads_strange_500.jpg
Magnus Georg Jensen,Radikale Venstre,B,13-11-1995,30,Konsulent,"MSc EBA SOL, Copenhagen Business School (CBS), 2020-2022.","Ældreordfører, Boligordfører, Indfødsretsordfører, Integrationsordfører, Skatteordfører, Udlændingeordfører",https://www.dr.dk/parliament-member-images/magnus_georg_jensen_500.jpg
Magnus Heunicke,Socialdemokratiet,A,28-01-1975,51,Undervisningsminister,"Journalist, Danmarks Journalisthøjskole, Aarhus, 1998-2002. , Student, Næstved Gymnasium, 1992-1995. , 10. klasses afgangsprøve, Gunslevholm Idrætsefterskole, Falster, 1991-1992. , Folkeskolens 9. klasses afgangsprøve, Kildemarkskolen, Næstved, 1981-1991.",,https://www.dr.dk/parliament-member-images/magnus_heunicke_500.jpg
Mai Mercado,Det Konservative Folkeparti,C,20-08-1980,45,Fhv. minister,"Cand.scient.pol., Syddansk Universitet, 2001-2008. , Student, Odense Katedralskole, 1997-2000.","Dyrevelfærdsordfører, Retsordfører, Transportordfører",https://www.dr.dk/parliament-member-images/mai_mercado_500.jpg
Malte Larsen,Dansk Folkeparti,O,15-07-2001,24,Cand.jur.,"Cand.jur., Københavns Universitet, 2023-2025. , Ba.jur., Københavns Universitet, 2020-2023. , Stx, Helsingør Gymnasium, 2017-2020.","Energiordfører, Kirkeordfører, Klimaordfører, Konventionsordfører, Kulturordfører",https://www.dr.dk/parliament-member-images/malte_larsen_500.jpg
